Document Title,Authors,Author Affiliations,Publication Title,Publication Year,Venue Key,Venue Rank,IC Domain,Abstract,DOI,PDF Link,Source URL,IEEE Article Number,Quality Score,Collection Method,Download Status,Article Citation Count
A 1.9mW 750kb/s 2.4GHz F-OOK transmitter with symmetric FM template and high-point modulation PLL,Yining Zhang; Ranran Zhou; Woogeun Rhee; Zhihua Wang,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844189,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844189,https://doi.org/10.1109/asscc.2016.7844189,7844189,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,3
A 10-b 800MS/s time-interleaved SAR ADC with fast timing-skew calibration,Jeonggoo Song; Kareem Ragab; Xiyuan Tang; Nan Sun,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844138,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844138,https://doi.org/10.1109/asscc.2016.7844138,7844138,98.4,crossref_venue_year:2016,publisher_pdf_requires_session,9
A 10-bit 1GS/s 4-way TI SAR ADC with tap-interpolated FIR filter based time skew calibration,Lei Qiu; Tang Kai; Yan Zhu; Liter Siek; Yuanjin Zheng; U Seng-Pan,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844139,https://doi.org/10.1109/asscc.2016.7844139,7844139,108.2,crossref_venue_year:2016,publisher_pdf_requires_session,6
A 12 bit 150 MS/s 1.5 mW SAR ADC with adaptive radix DAC in 40 nm CMOS,Kwuang-Han Chang; Chih-Cheng Hsieh,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844159,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844159,https://doi.org/10.1109/asscc.2016.7844159,7844159,108.6,crossref_venue_year:2016,publisher_pdf_requires_session,15
A 12-bit 200kS/s subranging SAR ADC with an energy-curve reshape technique,Yao-Sheng Hu; Kai-Yue Lin; Hsin-Shu Chen,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844157,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844157,https://doi.org/10.1109/asscc.2016.7844157,7844157,98,crossref_venue_year:2016,publisher_pdf_requires_session,1
"A 13.56 MHz, 162 mW magnetically coupled digital rectifier with 94% VCR, 96% PCE over 50-to-5k Ω load range, and embedded 80 kbps DBPSK demodulator for biomedical applications",Hugo Cruz; Shuenn-Yuh Lee; Ching-Hsing Luo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,"Biomedical, Sensor & Imaging IC",,10.1109/asscc.2016.7844172,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844172,https://doi.org/10.1109/asscc.2016.7844172,7844172,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 14.4Gb/s/pin 230fJ/b/pin/mm multi-level RF-interconnect for global network-on-chip communication,Majid Jalalifar; Gyung-Su Byun,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844144,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844144,https://doi.org/10.1109/asscc.2016.7844144,7844144,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,2
A 16 bit linear passive-charge-sharing SAR ADC in 55nm CMOS,Mark Maddox; Baozhen Chen; Michael Coln; Ron Kapusta; Junhua Shen; Lalinda Fernando,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844158,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844158,https://doi.org/10.1109/asscc.2016.7844158,7844158,99,crossref_venue_year:2016,publisher_pdf_requires_session,25
A 16–43 GHz low-noise amplifer with 2.5–4.0 dB noise figure,Zhe Chen; Hao Gao; Domine M.W. Leenaerts; Dusan Milosevic; Peter G.M. Baltus,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844207,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844207,https://doi.org/10.1109/asscc.2016.7844207,7844207,88.8,crossref_venue_year:2016,publisher_pdf_requires_session,20
A 2 nd order fully-passive noise-shaping SAR ADC with embedded passive gain,Zhijie Chen; Masaya Miyahara; Akira Matsuzawa,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844197,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844197,https://doi.org/10.1109/asscc.2016.7844197,7844197,100.2,crossref_venue_year:2016,publisher_pdf_requires_session,56
A 2.34μJ/scan acoustic power scalable charge-redistribution pMUT interface system with on-chip aberration compensation for portable ultrasonic applications,Judyta Tillak; Sina Akhbari; Nimesh Shah; Ljubomir Radakovic; Liwei Lin; Jerald Yoo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844167,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844167,https://doi.org/10.1109/asscc.2016.7844167,7844167,88.3,crossref_venue_year:2016,publisher_pdf_requires_session,8
A 28 nm CMOS 7.04 Gsps polar digital front-end processor for 60 GHz transmitter,Yanxiang Huang; Chunshu Li; Khaled Khalaf; Andre Bourdoux; Julien Verschueren; Qixian Shi; Piet Wambacq; Sofie Polling; Wim Dehaene; Liesbet Van der Perre,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844203,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844203,https://doi.org/10.1109/asscc.2016.7844203,7844203,98.1,crossref_venue_year:2016,publisher_pdf_requires_session,3
A 2GS/s 8b time-interleaved SAR ADC for millimeter-wave pulsed radar baseband SoC,Takuji Miki; Toshiaki Ozeki; Jun-ichi Naka,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844121,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844121,https://doi.org/10.1109/asscc.2016.7844121,7844121,98.3,crossref_venue_year:2016,publisher_pdf_requires_session,7
A 3.2 mA-RX 3.5 mA-TX fully integrated SoC for Bluetooth Low Energy,Masayoshi Oshiro; Tatsuhiko Maruyama; Takashi Tokairin; Yuki Tuda; Tong Wang; Naotaka Koide; Yosuke Ogasawara; Tuan Thanh Ta; Hiroshi Yoshida; Kenichi Sami,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2016.7844120,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844120,https://doi.org/10.1109/asscc.2016.7844120,7844120,88.4,crossref_venue_year:2016,publisher_pdf_requires_session,9
A 305mV-850mV 400μW 45GSamples/J reconfigurable compressive sensing engine with early-termination for ultra-low energy target detection in 14nm tri-gate CMOS,Sudhir Satpathy; Sanu Mathew; Vikram Suresh; Mark Anders; Gregory Chen; Himanshu Kaul; Amit Agarwal; Steven Hsu; Ram Krishnamurthy; Vivek De,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844183,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844183,https://doi.org/10.1109/asscc.2016.7844183,7844183,98,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 32.75-Gb/s voltage mode transmitter with 3-tap FFE in 16nm CMOS,Kok Lim Chan; Kee Hian Tan; Yohan Frans; Jay Im; Parag Upadhyaya; Siok Wei Lim; Arianne Roldan; Nakul Narang; Chin Yang Koay; Hongyuan Zhao; Ken Chang,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844178,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844178,https://doi.org/10.1109/asscc.2016.7844178,7844178,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,2
"A 32.9% PAE, 15.3 dBm, 21.6–41.6 GHz power amplifier in 65nm CMOS using coupled resonators",Haikun Jia; Clarissa C. Prawoto; Baoyong Chi; Zhihua Wang; C. Patrick Yue,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844206,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844206,https://doi.org/10.1109/asscc.2016.7844206,7844206,88.5,crossref_venue_year:2016,publisher_pdf_requires_session,13
A 34pJ/level pixel depth-estimation processor with shifter-based pipelined architecture for mobile user interface,Sungpill Choi; Seongwook Park; Hoi-Jun Yoo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844184,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844184,https://doi.org/10.1109/asscc.2016.7844184,7844184,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 4-GHz ΔΣ fractional-N frequency synthesizer with 2-dimensional quantization noise pushing and fractional spur elimination techniques,Chun-Yu Lin; Tsung-Hsien Lin,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Clocking & Frequency Generation,,10.1109/asscc.2016.7844143,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844143,https://doi.org/10.1109/asscc.2016.7844143,7844143,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 4.86 mW 15-bit 22.5 MS/s pipelined ADC with 74 dB SNDR in 90 nm CMOS using averaging correlated level shifting technique,Tsung-Chih Hung; Tai-Haur Kuo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844160,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844160,https://doi.org/10.1109/asscc.2016.7844160,7844160,88.3,crossref_venue_year:2016,publisher_pdf_requires_session,7
A 40-nV/VHz 0.0145-mm 2 sensor readout circuit with chopped VCO-based CTDSM in 40-nm CMOS,Chih-Chan Tu; Yu-Kai Wang; Tsung-Hsien Lin,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Clocking & Frequency Generation,,10.1109/asscc.2016.7844131,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844131,https://doi.org/10.1109/asscc.2016.7844131,7844131,88,crossref_venue_year:2016,publisher_pdf_requires_session,1
A 41.3pJ/26.7pJ per neuron weight RBM processor for on-chip learning/inference applications,Chang-Hung Tsai; Wan-Ju Yu; Wing Hung Wong; Chen-Yi Lee,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2016.7844186,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844186,https://doi.org/10.1109/asscc.2016.7844186,7844186,88,crossref_venue_year:2016,publisher_pdf_requires_session,1
A 5.1Gb/s 60.3fJ/bit/mm PVT tolerant NoC transceiver,Vishal Vinayak Kulkarni; Wei Yi Lim; Bin Zhao; Dan Lei Yan; Yu-Shun Wang; Jun Zhou; Muthukumaraswamy Annamalai Arasu,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844155,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844155,https://doi.org/10.1109/asscc.2016.7844155,7844155,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,2
A 5.5GHz 0.84TOPS/mm 2 neural network engine with stream architecture and resonant clock mesh,Shengshuo Lu; Zhengya Zhang; Marios Papaefthymiou,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844153,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844153,https://doi.org/10.1109/asscc.2016.7844153,7844153,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 5.92-Mb/mm 2 28-nm pseudo 2-read/write dual-port SRAM using double pumping circuitry,Yuichiro Ishii; Makoto Yabuuchi; Yohei Sawada; Masao Morimoto; Yasumasa Tsukamoto; Yuta Yoshida; Ken Shibata; Toshiaki Sano; Shinji Tanaka; Koji Nii,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Memory & Compute-in-Memory,,10.1109/asscc.2016.7844124,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844124,https://doi.org/10.1109/asscc.2016.7844124,7844124,88.4,crossref_venue_year:2016,publisher_pdf_requires_session,11
A 5–8 Gb/s low-power transmitter with 2-tap pre-emphasis based on toggling serialization,Sung-Geun Kim; Tongsung Kim; Dae-Hyun Kwon; Woo-Young Choi,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844182,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844182,https://doi.org/10.1109/asscc.2016.7844182,7844182,88.2,crossref_venue_year:2016,publisher_pdf_requires_session,5
"A 6-to-32 Gb/s voltage-mode transmitter with scalable supply, voltage swing, and pre-emphasis in 65-nm CMOS",Woorham Bae; Haram Ju; Kwanseo Park; Deog-Kyoon Jeong,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844180,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844180,https://doi.org/10.1109/asscc.2016.7844180,7844180,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,2
A 64-Kb 0.37V 28nm 10T-SRAM with mixed-Vth read-port and boosted WL scheme for IoT applications,Hidehiro Fujiwara; Yen-Huei Chen; Chih-Yu Lin; Wei-Cheng Wu; Dar Sun; Shin-Run Wu; Hung-Jen Liao; Jonathan Chang,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Power Management,,10.1109/asscc.2016.7844166,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844166,https://doi.org/10.1109/asscc.2016.7844166,7844166,88.5,crossref_venue_year:2016,publisher_pdf_requires_session,13
A 65-nm 0.35-V 7.1-μW memory-less adaptive PCG processor for wearable long-term cardiac monitoring,Chao Wang; Jianmin Zhang; Jun Zhou; Xin Liu; Ru San Tan; Liang Zhong; Kevin C.T. Chai,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2016.7844202,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844202,https://doi.org/10.1109/asscc.2016.7844202,7844202,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A 7.72 Gb/s LDPC-CC decoder with overlapped architecture for pre-5G wireless communications,Chia-Lung Lin; Rong-Jie Liu; Chih-Lung Chen; Hsie-Chia Chang; Chen-Yi Lee,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844204,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844204,https://doi.org/10.1109/asscc.2016.7844204,7844204,88.2,crossref_venue_year:2016,publisher_pdf_requires_session,4
A 7.9-GHz transformer-feedback quadrature VCO with a noise-shifting coupling network,Bingwei Jiang; Chixiao Chen; Junyan Ren; Howard C. Luong,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Clocking & Frequency Generation,,10.1109/asscc.2016.7844208,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844208,https://doi.org/10.1109/asscc.2016.7844208,7844208,88.1,crossref_venue_year:2016,publisher_pdf_requires_session,2
A 79GHz 2×2 MIMO PMCW radar SoC in 28nm CMOS,D. Guermandi; Q. Shi; A. Dewilde; V. Derudder; U. Ahmad; A. Spagnolo; A. Bourdoux; P. Wambacq; W. van Thillo,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Digital IC & Architecture,,10.1109/asscc.2016.7844146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844146,https://doi.org/10.1109/asscc.2016.7844146,7844146,88.5,crossref_venue_year:2016,publisher_pdf_requires_session,13
"A 79dB SNDR, 10MHz BW, 675MS/s open-loop time-based ADC employing a 1.15ps SAR-TDC",W. El-Halwagy; P. Mousavi; M. Hossain,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844200,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844200,https://doi.org/10.1109/asscc.2016.7844200,7844200,98.5,crossref_venue_year:2016,publisher_pdf_requires_session,12
A 83% peak efficiency 1.65 V to 11.4V dynamic voltage scaling supply for electrical stimulation applications in standard 0.18μm CMOS process,Lei Yao; Darmayuda I Made; Yuan Gao,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,General IC,,10.1109/asscc.2016.7844171,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844171,https://doi.org/10.1109/asscc.2016.7844171,7844171,98.4,crossref_venue_year:2016,publisher_pdf_requires_session,9
A 9-bit 500-MS/s 6.0-mW dynamic pipelined ADC using time-domain linearized dynamic amplifiers,Lilan Yu; Masaya Miyahara; Akira Matsuzawa,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844136,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844136,https://doi.org/10.1109/asscc.2016.7844136,7844136,98.4,crossref_venue_year:2016,publisher_pdf_requires_session,11
A 90nA quiescent current 1.5V–5V 50mA asynchronous folding LDO using dual loop control,Jun Liu; Troy Bryant; Nima Maghari; Jeffery Morroni,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Power Management,,10.1109/asscc.2016.7844175,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844175,https://doi.org/10.1109/asscc.2016.7844175,7844175,88.2,crossref_venue_year:2016,publisher_pdf_requires_session,6
A 91.2dB SNDR 66.2fJ/conv. dynamic amplifier based 24kHz ΔΣ modulator,Beichen Zhang; Runjiang Dou; Liyuan Liu; Nanjian Wu,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844199,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844199,https://doi.org/10.1109/asscc.2016.7844199,7844199,88.4,crossref_venue_year:2016,publisher_pdf_requires_session,9
A digital MDLL using switched biasing technique to reduce low-frequency phase noise,Chi-Huan Chiang; Chang-Cheng Huang; Ting-Kuei Kuan; Shen-Iuan Liu,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844145,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844145,https://doi.org/10.1109/asscc.2016.7844145,7844145,88,crossref_venue_year:2016,publisher_pdf_requires_session,0
A double-tail sense amplifier for low-voltage SRAM in 28nm technology,Pi-Feng Chiu; Brian Zimmer; Borivoje Nikolic,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Analog & Mixed-Signal,,10.1109/asscc.2016.7844165,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844165,https://doi.org/10.1109/asscc.2016.7844165,7844165,88.4,crossref_venue_year:2016,publisher_pdf_requires_session,9
A fine-resolution pulse-shrinking time-to-digital converter with completion detection utilizing built-in offset pulse,Tetsuya Iizuka; Takehisa Koga; Toru Nakura; Kunihiro Asada,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Clocking & Frequency Generation,,10.1109/asscc.2016.7844198,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844198,https://doi.org/10.1109/asscc.2016.7844198,7844198,88.6,crossref_venue_year:2016,publisher_pdf_requires_session,16
A high DR multi-channel stage-shared hybrid front-end for integrated power electronics controller,Yuan Ren; Sai-Weng Sin; Chi-Seng Lam; Man-Chung Wong; U Seng-Pan; Rui Paulo Martins,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,RF/mmWave & Wireline,,10.1109/asscc.2016.7844134,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844134,https://doi.org/10.1109/asscc.2016.7844134,7844134,88.3,crossref_venue_year:2016,publisher_pdf_requires_session,8
A high efficiency wide-load-range asynchronous boost converter with time-based dual-mode control for SSD applications,Kyoungjin Lee; Haneul Kim; Jehyung Yoon; Hyoung-Seok Oh; Byeong-Ha Park; Hojin Park; Yoonmyung Lee,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Power Management,,10.1109/asscc.2016.7844123,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844123,https://doi.org/10.1109/asscc.2016.7844123,7844123,88.2,crossref_venue_year:2016,publisher_pdf_requires_session,5
A low-power calibration-free fractional-N digital PLL with high linear phase interpolator,Fan Yang; Hangyan Guo; Runhua Wang; Zherui Zhang; Junhua Liu; Huailin Liao,,2016 IEEE Asian Solid-State Circuits Conference (A-SSCC),2016,ASSCC,A,Clocking & Frequency Generation,,10.1109/asscc.2016.7844187,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7844187,https://doi.org/10.1109/asscc.2016.7844187,7844187,88.5,crossref_venue_year:2016,publisher_pdf_requires_session,12
